Node	Degree	Cluster_Coeff	Closeness	Betweenness	Eigenvector_centrality	Eccentricity	Average_neighbor_degree
A13	6	0.600000	0.069051	0.000757	0.024558	30	8.833333
A14	8	0.607143	0.069915	0.002347	0.031714	30	8.375000
A15	12	0.378788	0.070223	0.009000	0.048462	30	8.083333
A16	6	0.733333	0.069996	0.000680	0.030797	30	10.000000
A17	8	0.535714	0.073699	0.002744	0.029518	29	7.750000
A18	5	0.700000	0.073040	0.000601	0.016401	29	7.600000
A19	6	0.666667	0.073240	0.001453	0.018713	29	7.333333
A20	7	0.428571	0.077645	0.013560	0.025977	28	7.000000
A21	7	0.380952	0.076371	0.008431	0.033605	28	6.428571
A22	7	0.380952	0.080626	0.010218	0.047693	27	6.571429
A23	4	0.500000	0.078796	0.004291	0.018546	27	5.500000
A24	4	0.500000	0.083981	0.009874	0.035476	26	5.500000
A25	4	0.500000	0.082747	0.006964	0.050648	26	5.250000
A26	7	0.523810	0.089596	0.024204	0.203366	25	7.571429
A27	6	0.666667	0.089465	0.007584	0.199828	25	8.333333
A28	7	0.666667	0.093943	0.014919	0.242931	24	8.571428
A29	7	0.666667	0.100045	0.105380	0.238431	23	9.142858
A30	7	0.666667	0.098660	0.001993	0.162497	23	8.428572
A31	10	0.488889	0.105595	0.271677	0.195568	22	8.000000
A32	9	0.472222	0.103411	0.058155	0.114011	22	7.333333
A33	7	0.571429	0.103299	0.019694	0.082120	22	7.571429
A34	8	0.392857	0.097582	0.007978	0.083642	23	7.125000
A35	8	0.464286	0.099362	0.034483	0.123294	23	7.750000
A36	7	0.571429	0.098762	0.024228	0.099085	23	7.857143
A37	7	0.428571	0.092452	0.007472	0.093369	24	7.000000
A38	5	0.500000	0.091380	0.004535	0.042862	24	6.000000
A39	5	0.400000	0.095769	0.037009	0.033698	23	6.000000
A40	4	0.666667	0.088718	0.002679	0.013400	24	5.000000
A41	6	0.400000	0.091380	0.033738	0.035715	24	5.000000
A42	4	0.500000	0.084266	0.002867	0.008688	25	4.500000
A43	4	0.500000	0.085263	0.015872	0.013014	25	5.500000
A44	4	0.500000	0.082870	0.002881	0.016298	25	6.250000
A45	8	0.500000	0.086642	0.015207	0.056783	24	7.500000
A46	8	0.607143	0.089369	0.009051	0.080068	23	9.000000
A47	6	0.666667	0.090054	0.003670	0.069620	23	9.333333
A48	9	0.472222	0.094713	0.039562	0.119857	22	8.666667
A49	7	0.619048	0.092657	0.002705	0.095578	23	8.571428
A50	6	0.733333	0.093615	0.001230	0.094054	23	9.166667
A51	7	0.476190	0.100254	0.012056	0.103083	22	8.000000
A52	5	0.800000	0.100254	0.000111	0.086317	22	9.000000
A53	8	0.428571	0.103268	0.052139	0.118859	22	7.375000
A54	6	0.800000	0.106181	0.054473	0.137398	22	9.000000
A55	10	0.400000	0.106722	0.114346	0.198012	22	7.900000
A56	8	0.392857	0.107527	0.295014	0.242749	22	9.000000
A57	6	0.466667	0.105862	0.018648	0.142671	22	9.000000
A58	9	0.361111	0.112171	0.827161	0.165850	21	8.111111
A59	7	0.666667	0.103667	0.002068	0.114342	22	8.000000
A60	8	0.571429	0.105595	0.156491	0.169487	22	8.250000
A61	7	0.666667	0.099259	0.030327	0.209083	23	8.714286
A62	11	0.454545	0.101700	0.279181	0.425997	23	8.818182
